id,heading,content_summary,article_link,img_link,month_date,time,Year
100, Uttarakhand: Man 39 held for killing constable wife in Haldwani , Nainital district police on Monday arrested a man from Kichha in US Nagar for murdering a police constable’s wife in Haldwani on November 3 ,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-man-39-held-for-killing-constables-wife-in-haldwani/articleshow/95370204.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95370204width-300resizemode-4/95370204jpg,08-Nov,09:55,2022
101, Nashik city: Another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 (punishment for theft) of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/nashik/nashik-city-another-theft-from-parked-car-seventh-case-in-4-days/articleshow/95368457.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95368457width-300resizemode-4/95368457jpg,08-Nov,08:25,2022
102, Uttarakhand: Man 39 held for killing constable wife in Haldwani , Nainital district police on Monday arrested a man from Kichha in US Nagar for murdering a police constable’s wife in Haldwani on November 3 ,https://timesofindia.indiatimes.com/city/pune/pune-externed-criminal-jumps-from-bus-fearing-cops-car-runs-over-him/articleshow/95366308.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95370204width-300resizemode-4/95370204jpg,08-Nov,09:55,2022
103, Nashik city: Another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 (punishment for theft) of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/patna/gaya-woman-burned-alive-on-suspicion-of-witchcraft/articleshow/95328044.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95368457width-300resizemode-4/95368457jpg,08-Nov,08:25,2022
104, Nashik city: Another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 (punishment for theft) of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/pune/man-held-on-charge-of-stalking/articleshow/95266582.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95368457width-300resizemode-4/95368457jpg,08-Nov,08:25,2022
105, Pune: Externed criminal jumps from bus fearing cops car runs over him , An externed criminal died in the early hours of Sunday as he jumped from a rear window of a stationary private luxury bus and landed in front of a car fearing arrest after police came to resolve a dispute between the passengers and the bus staffers at Shivdarshan Chowk on the Pune-Solapur highway ,https://timesofindia.indiatimes.com/city/pune/victims-of-two-street-robberies-team-up-chase-nab-criminal/articleshow/95266517.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95366308width-300resizemode-4/95366308jpg,08-Nov,05:17,2022
106, Gaya woman burned alive on suspicion of witchcraft , A middle-aged woman was badly thrashed and burned alive in her house at village Panchmah under Maigra police station area in Gaya district on Saturday afternoon for allegedly practising witchcraft ,https://timesofindia.indiatimes.com/city/pune/pune-three-rob-injured-man-of-cash-goods-worth-rs-56000/articleshow/95264348.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95328044width-300resizemode-4/95328044jpg,06-Nov,05:24,2022
107, Man held on charge of stalking in Pune , A man (33) was arrested on Tuesday from Khed taluka on the charge of stalking a 28-year-old woman from his neighbouring village for the past two years and damaging her two vehiclesThe woman on Tuesday filed a complaint ,https://timesofindia.indiatimes.com/city/lucknow/up-gang-had-spent-rs-1-crore-in-executing-heist/articleshow/95241249.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95266582width-300resizemode-4/95266582jpg,03-Nov,08:32,2022
108, Pune: Victims of two street robberies team up chase & nab criminal , Two victims of armed assault and back-to-back midnight street robberies by a bike-borne duo chased and managed to apprehend the pillion rider a criminal on police record in the Kondhwa area before handing him over to the police Around 12 ,https://timesofindia.indiatimes.com/city/indore/madhya-pradesh-four-year-old-raped-abandoned-in-khandwa-found-14-hours-later/articleshow/95227532.cms,https://statictoiimgcom/thumb/imgsize-123456msid-95266517width-300resizemode-4/95266517jpg,03-Nov,08:30,2022
109,"Madhya Pradesh: Four-year-old raped, abandoned in Khandwa, found 14 hours later ",A four-year-old girl was abducted from a hut and raped by a man in Jaswadi village of Khandwa district in the early hours of Monday. The 38-year-old accused strangled her and threw her in bushes. She was rescued after the police arrested the accused and extracted a confession out of him on Monday night -- 14 hours after she was left to die. Police suspect the involvement of another man in the crime. ,https://timesofindia.indiatimes.com/city/indore/madhya-pradesh-four-year-old-raped-abandoned-in-khandwa-found-14-hours-later/articleshow/95227532.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95227532,width-300,resizemode-4/95227532.jpg",01-11-2001,14:44:00,2022
110, Man chops off wife’s fingers in Kerala amid quarrel ," A man cut off three fingers from his wife’s right hand in a fit of rage amid a domestic quarrel in Kanakkary near Ettumanoor at 8. 30am on Friday. Manju sustained injuries on her nose, lips, left cheek, ear and the back of her neck after her husband Pradeep Kumar attacked her. Her left hand was also fractured in the attack. ",https://timesofindia.indiatimes.com/city/kochi/man-chops-off-wifes-fingers-in-kerala-amid-quarrel/articleshow/94872678.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94872678,width-300,resizemode-4/94872678.jpg",Oct-15,09:11,2022
111," Karnataka: Two years on, man held for killing, burying teen wife "," A 31-year-old labourer who was on the run after allegedly killing his wife, a minor, in 2020 was recently arrested in Madhugiri taluk of Tumakuru district. ",https://timesofindia.indiatimes.com/city/bengaluru/karnataka-two-years-on-man-held-for-killing-burying-teen-wife/articleshow/95195863.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95195863,width-300,resizemode-4/95195863.jpg",Oct-31,11:53,2022
112, Ludhiana: Khanna police arrest 2 accused in cop murder case , Khanna police on Sunday night arrested two accused for murder of a cop after he died at a hospital after being attacked by three people at his village. ,https://timesofindia.indiatimes.com/city/ludhiana/ludhiana-khanna-police-arrest-2-accused-in-cop-murder-case/articleshow/95195412.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95195412,width-300,resizemode-4/95195412.jpg",Oct-31,11:36,2022
113," Ahmedabad: Man talks to woman, he is beaten; his brother abducted "," A man attacked his wife's male friend and when the friend's brother attempted a rescue, the attacker kidnapped the brother. The man who was kidnapped has been identified as Ishwar Adiwal, the brother of Ravi. ",https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-man-talks-to-woman-he-is-beaten-his-brother-abducted/articleshow/95190972.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95190972,width-300,resizemode-4/95190972.jpg",Oct-31,08:11,2022
114, Man held for stealing gold worth Rs 4.3 lakh in Karnataka ," Vittal police of Dakshina Kannada district have arrested a man on the charges of stealing jewellery from a house in Idkidu village in Mittur of Bantwal taluk. The arrested is Mohammed K U,42, from Taliparamba in Kannur of Kerala. ",https://timesofindia.indiatimes.com/city/mangaluru/man-held-for-stealing-gold-worth-rs-4-3-lakh-in-karnataka/articleshow/95190458.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95190458,width-300,resizemode-4/95190458.jpg",Oct-31,07:44,2022
115, E-commerce worker held for parcel fraud in West Bengal ," official with an online shopping platform lodged a complaint with the Lake Town police station on Saturday, alleging that a Satgachhi resident allegedly duped him by not delivering a consignment worth Rs 2.3 lakh. The accused person - an employee of the company's warehouse - has been arrested on Sunday. ",https://timesofindia.indiatimes.com/city/kolkata/e-commerce-worker-held-for-parcel-fraud-in-west-bengal/articleshow/95189415.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95189415,width-300,resizemode-4/95189415.jpg",Oct-31,05:35,2022
116, Karnataka: Pontiff & woman among 3 arrested for abetting Kanchugal Bande Mutt seer's suicide ," Ramanagara district police arrested three persons, including a pontiff of a mutt and a woman, on Sunday on the charges of abetting Basavalinga Swamy, the head pontiff of Sri Kanchugal Bande Mutt in Magadi taluk, to kill himself. ",https://timesofindia.indiatimes.com/city/bengaluru/karnataka-pontiff-woman-among-3-arrested-for-abetting-kanchugal-bande-mutt-seers-suicide/articleshow/95189118.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95189118,width-300,resizemode-4/95189118.jpg",Oct-31,04:18,2022
117," 2 society staffers thrash resident in Greater Noida, held ", Two maintenance staffers of a highrise residential society in Greater Noida West have been arrested for allegedly thrashing a 59-year-old resident with sticks on Wednesday night. ,https://timesofindia.indiatimes.com/city/noida/2-society-staffers-thrash-resident-in-greater-noida-held/articleshow/94847493.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94847493,width-300,resizemode-4/94847493.jpg",Oct-14,06:37,2022
118, Chhattisgarh coal levy scam: Businessman Suryakant Tiwari remanded to 12-day ED custody ," Amidst the Enforcement Directorate (ED) stepping up its investigation into an illegal coal levy scam in Chhattisgarh, businessman Suryakant Tiwari, whom the central agency described as the kingpin of the racket involving IAS officers and others, has surrendered before a special (PMLA) court, which granted his 12-day custody to the central agency for further investigation. ",https://timesofindia.indiatimes.com/city/raipur/chhattisgarh-coal-levy-scam-businessman-suryakant-tiwari-remanded-to-12-day-ed-custody/articleshow/95167662.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95167662,width-300,resizemode-4/95167662.jpg",Oct-29,19:02,2022
119," Burglars target liquor shop in west Delhi, flee with Rs 30 lakh "," Unidentified people broke through the wall of a government wine shop and escaped with Rs 30 lakh in west Delhi's Khyala area. So far, no one has been arrested in this case. ",https://timesofindia.indiatimes.com/city/delhi/burglars-target-liquor-shop-in-west-delhi-flee-with-rs-30-lakh/articleshow/94522572.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94522572,width-300,resizemode-4/94522572.jpg",Sep-29,08:56,2022
120, EOW nabs retired govt official for cheating private firm of Rs 30 crore in Delhi ," A former executive director with a public sector undertaking, who had been working for a private limited company, has been arrested by the economic offences wing (EOW) for allegedly duping his employer. The accused allegedly caused a loss of around Rs 30 crore to the company, cops said. ",https://timesofindia.indiatimes.com/city/delhi/eow-nabs-retired-govt-official-for-cheating-private-firm-of-rs-30-crore-in-delhi/articleshow/94522456.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94522456,width-300,resizemode-4/94522456.jpg",Sep-29,08:49,2022
121," Gurugram: Call centre cheats foreigners, busted "," CM flying squad along with the police busted a call centre in Sohna and arrested nine people on Tuesday night for allegedly cheating foreigners on the pretext of providing them grants between $9,000 and $34,000. ",https://timesofindia.indiatimes.com/city/gurgaon/call-centre-cheats-foreigners-busted/articleshow/94521261.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94521261,width-300,resizemode-4/94521261.jpg",Sep-29,08:05,2022
122," Man killed over sleeping on park bench in Noida, 1 arrested ", A Phase 1 police team have arrested a man for allegedly stabbing another to death at Mahila Park in Harola around 2 am on Tuesday after finding him sleeping on a bench he had been using for his night's rest. ,https://timesofindia.indiatimes.com/city/noida/man-killed-over-sleeping-on-park-bench-in-noida-1-arrested/articleshow/94520507.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94520507,width-300,resizemode-4/94520507.jpg",Sep-29,06:55,2022
123," Mumbai: Youth held for raping lover, threatening to upload video "," A 23-year old man has been arrested by the LT Marg police for raping his girlfriend on the pretext of marrying her. He also recorded videos of his sexual act with her, and threatened to upload them online on multiple occasions, when her family rejected his marriage proposal. ",https://timesofindia.indiatimes.com/city/mumbai/mumbai-youth-held-for-raping-lover-threatening-to-upload-video/articleshow/94520466.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94520466,width-300,resizemode-4/94520466.jpg",Sep-29,06:50,2022
124, Ghaziabad: Another birthday bash on Hindon Elevated Road; 21 arrested ," Holding a birthday party in the early hours of Wednesday on Hindon Elevated Road proved costly for 21 youths. All of them, aged between 19 and 26, ended up in police lock-up. ",https://timesofindia.indiatimes.com/city/ghaziabad/ghaziabad-another-birthday-bash-on-hindon-elevated-road-21-arrested/articleshow/94520340.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94520340,width-300,resizemode-4/94520340.jpg",Sep-29,06:38,2022
125, Unwelcome words to schoolgirl land stalker in prison ," Special court sentenced a man (28) to one month simple imprisonment for stalking a schoolgirl and uttering “unwelcome” words to her. Extra Joint Special Judge under Pocso Act Anis Khan found the man, a driver, guilty. ",https://timesofindia.indiatimes.com/city/mumbai/unwelcome-words-to-schoolgirl-land-stalker-in-prison/articleshow/93262447.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93262447,width-300,resizemode-4/93262447.jpg",Aug-01,08:08,2022
126, Mumbai: Man steals ATM cards under pretext of helping senior citizens ," A 28-year-old conman, who would pretend to offer help to vulnerable citizens at ATMs and swindle their debit cards instead, has been arrested by Borivali GRP. Thirty seven debit cards have been recovered from the accused, Vivek Varma, police said. ",https://timesofindia.indiatimes.com/city/mumbai/mumbai-man-steals-atm-cards-under-pretext-of-helping-senior-citizens/articleshow/93262445.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93262445,width-300,resizemode-4/93262445.jpg",Aug-01,08:08,2022
127," Mumbai: Woman videocalls 2 men, dupes them of Rs 3 lakh in sextortion scam "," Two men, both neighbours at an Andheri residential neighbourhood, were targetted in a sextortion scam and forced to pay up Rs 3.63 lakh collectively. The Amboli Police have registered a single FIR in both instances but are yet to verify if the accused is the same individual. ",https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-videocalls-2-men-dupes-them-of-rs-3-lakh-in-sextortion-scam/articleshow/93262296.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93262296,width-300,resizemode-4/93262296.jpg",Aug-01,07:58,2022
128, Punjab: AAP councillor shot dead in Malerkotla gym , An AAP municipal councillor was shot dead by two unidentified persons in Malerkotla district on Sunday. Mohammad Akbar Bholi (55) was at a gym when he was shot from close range. ,https://timesofindia.indiatimes.com/city/ludhiana/punjab-aap-councillor-shot-dead-in-malerkotla-gym/articleshow/93261632.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93261632,width-300,resizemode-4/93261632.jpg",Aug-01,07:02,2022
129, Bihar: Thieves stab Muzaffarpur woman to death ," One Rekha Devi, 48, was killed by unidentified miscreants, who tried to take away the woman's buffalo from outside her house near Yashoda Math under Kanti police station area in Muzaffarpur district at 3am on Sunday. Her husband Mangal Sah works as a labourer in Assam. ",https://timesofindia.indiatimes.com/city/patna/bihar-thieves-stab-muzaffarpur-woman-to-death/articleshow/93261545.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93261545,width-300,resizemode-4/93261545.jpg",Aug-01,06:53,2022
130," Gangrape: 2 get cop custody, NRI flees to Dubai "," Share trader Manish Bansal and his manager Purshottam Gopal Krishna Rao, arrested on charges of gangrape of a woman, were on Tuesday remanded in police custody till July 29. ",https://timesofindia.indiatimes.com/city/mumbai/gangrape-2-get-cop-custody-nri-flees-to-dubai/articleshow/93148921.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93148921,width-300,resizemode-4/93148921.jpg",Jul-27,07:19,2022
131, Uttar Pradesh: BJP leader accused of running brothel held ," BJP's Meghalaya vice-president Bernard Marak, accused of running a prostitution ring and trafficking, was arrested in Uttar Pradesh's Hapur late Tuesday evening. ",https://timesofindia.indiatimes.com/city/meerut/uttar-pradesh-bjp-leader-accused-of-running-brothel-held/articleshow/93148178.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93148178,width-300,resizemode-4/93148178.jpg",Jul-27,05:49,2022
132, Gujarat teen uses Instagram DPs to 'sextort' women from Mumbai ," The cops have registered an FIR against a Gujarat teen accused of sexual harassment and extortion of nearly 22 women in the city using vulgar clips and booked him for outraging the modesty of a woman, sexual harassment, extortion, etc, under IPC. ",https://timesofindia.indiatimes.com/city/mumbai/gujarat-teen-uses-instagram-dps-to-sextort-women-from-mumbai/articleshow/93146966.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-93146966,width-300,resizemode-4/93146966.jpg",Jul-27,03:10,2022
133, Gang sending stolen mobile phones to neighbouring countries busted in Delhi ," Delhi Police’s Crime Branch on Wednesday said they have busted a gang that used to send stolen mobile phones to neighbouring countries, including Pakistan, and arrested three people. ",https://timesofindia.indiatimes.com/city/delhi/gang-sending-stolen-mobile-phones-to-neighbouring-countries-busted/articleshow/92555469.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-92555469,width-300,resizemode-4/92555469.jpg",Jun-30,04:25,2022
134, Mumbai: Actor Swara Bhaskar gets death threat , The Versova police registered a non-cognizable (NC) against an unknown person for posting a death threat letter to the residence of Bollywood actress Swara Bhaskar. The NC was registered based on a written complaint received from Bhaskar after she approached the police. ,https://timesofindia.indiatimes.com/city/mumbai/actor-swara-bhaskar-gets-death-threat/articleshow/92556438.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-92556438,width-300,resizemode-4/92556438.jpg",Jun-30,03:15,2022
135," Pune: 3 boys attempt to kill friend over trivial dispute, detained "," The police on Wednesday detained three boys, all aged between 15 and 16 years, for attempting to kill a 16-year-old with stones at an open plot in Tukaramnagar in Pune city at around 11.30pm on Tuesday over a trivial reason. ",https://timesofindia.indiatimes.com/city/pune/pune-3-boys-attempt-to-kill-friend-over-trivial-dispute-detained/articleshow/92554240.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-92554240,width-300,resizemode-4/92554240.jpg",Jun-29,22:54,2022
136, Bhopal: 45-year-old sexually harassed by painter in Gautam Nagar ," A 45-year-old woman was allegedly sexually harassed by a painter, who was called for white washing at the home in Gautam Nagar locality on Saturday night. ",https://timesofindia.indiatimes.com/city/bhopal/bhopal-45-year-old-sexually-harassed-by-painter-in-gautam-nagar/articleshow/88113540.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88113540,width-300,resizemode-4/88113540.jpg",Dec-06,08:16,2021
137," Chennai: Man, 32, held for selling rented cars ", A 32-year-old car dealer was arrested on charges of cheating car owners with fake promises in a rental scheme. ,https://timesofindia.indiatimes.com/city/chennai/chennai-man-32-held-for-selling-rented-cars/articleshow/88113166.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88113166,width-300,resizemode-4/88113166.jpg",Dec-06,07:07,2021
138, 75-year-old doctor attacked during morning walk in Ahmedabad ," Adding to the cases of attacks on elderly people in the city, a 75-year-old doctor claimed he was assaulted by two unidentified men on a motorcycle when he was out for his morning walk in Memnagar. ",https://timesofindia.indiatimes.com/city/ahmedabad/75-yr-old-doctor-attacked-during-morning-walk-in-ahmedabad/articleshow/88110697.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88110697,width-300,resizemode-4/88110697.jpg",Dec-06,04:57,2021
139, Coimbatore: History-sheeter killed by gang in Mettupalayam , A six-member gang murdered a man in Mettupalayam on Sunday. ,https://timesofindia.indiatimes.com/city/coimbatore/history-sheeter-killed-by-gang/articleshow/88111071.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88111071,width-300,resizemode-4/88111071.jpg",Dec-06,04:39,2021
140, Hyderabad: Woman kills self after tailor husband gets blouse wrong ," A housewife committed suicide after her husband, who is a tailor by profession, did not stitch her blouse to her liking. ",https://timesofindia.indiatimes.com/city/hyderabad/woman-kills-self-after-tailor-husband-gets-blouse-wrong/articleshow/88111471.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88111471,width-300,resizemode-4/88111471.jpg",Dec-06,04:30,2021
141, 11-year-old girl raped multiple times in Surat ," A 21-year-old man befriended an 11-year-old minor and lured her to going with him to a hotel in Dindoli area of Surat, where he allegedly raped her. ",https://timesofindia.indiatimes.com/city/surat/11-yr-old-girl-raped-multiple-times/articleshow/88110429.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88110429,width-300,resizemode-4/88110429.jpg",Dec-06,04:29,2021
142," Four held for robbing pedestrian of Rs 50,000 in Pune "," Four men have been arrested on the charge of robbing a pedestrian of Rs 50,000 around 12.30pm on Friday in the Sadashiv Peth area. ",https://timesofindia.indiatimes.com/city/pune/four-held-for-robbing-pedestrian-of-rs-50k/articleshow/88097338.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88097338,width-300,resizemode-4/88097338.jpg",Dec-05,04:46,2021
143," Pune: 3 arrested for posing as doctors, treating hair fall ", The crime branch arrested three people on Friday for posing as medical practitioners and “treating” people for hair fall at their clinic-studio facility in Vimannagar. ,https://timesofindia.indiatimes.com/city/pune/3-arrested-for-posing-as-docs-treating-hair-fall/articleshow/88096932.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-88096932,width-300,resizemode-4/88096932.jpg",Dec-05,04:02,2021
144," UP triple murder: Last location of Sushil found at Atal Ghat, police fear the worst "," The police have found some leads about the professor of Forensic Science who is at large after allegedly murdering his wife, son and daughter in their Divinity Apartments flat in Indira Nagar, Kalyanpur on Friday. ",https://timesofindia.indiatimes.com/city/kanpur/up-triple-murder-last-location-of-sushil-found-at-atal-ghat-police-fear-the-worst/articleshow/88096708.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-78553754,width-300,resizemode-4/78553754.jpg",Dec-04,23:42,2021
145, Man arrested from UP after Rs 16 lakh theft in Santacruz ," A history-sheeter has been tracked and arrested from a Naxalite belt in Uttar Pradesh, almost a month-and-a-half after he burgled a real estate broker’s flat in Santacruz (east) and made away with Rs 5 lakh and gold-and-diamond jewellery worth Rs 11 lakh. ",https://timesofindia.indiatimes.com/city/mumbai/mumbai-man-arrested-from-up-after-rs-16-lakh-theft-in-santacruz/articleshow/86467034.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-86467034,width-300,resizemode-4/86467034.jpg",Sep-24,04:45,2021
146," Lucknow: Spurned lover throws girl off roof in Gudamba, assaults her uncle "," A girl, in her early 20s, sustained fatal injuries after a youth stormed into her house and threw her down from the rooftop in Gudamba police station area, on Thursday. ",https://timesofindia.indiatimes.com/city/lucknow/spurned-lover-throws-girl-off-roof-assaults-her-uncle/articleshow/86467425.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-86467425,width-300,resizemode-4/86467425.jpg",Sep-24,04:27,2021
147," Chennai: Man beaten to death at de-addiction centre, 7 held ", Seven inmates of a de-addiction centre in Royapettah were arrested for beating another inmate to death as he protested and agitated while being rescued and brought back to the centre on Monday. The Anna Salai police registered a murder case and sent the seven accused to jail on Tuesday. ,https://timesofindia.indiatimes.com/city/chennai/man-beaten-to-death-at-de-addiction-centre-7-held/articleshow/91297868.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-91297868,width-300,resizemode-4/91297868.jpg",May-04,03:15,2022
148," Over 14,000 online fraud complaints from Mumbai, only 600 FIRs filed "," According to the NCRB report, a total of 2,453 cases of cyber offences were registered in the city in 2020 as against 2,225 the previous year. ",https://timesofindia.indiatimes.com/city/mumbai/mumbai-over-14000-online-fraud-plaints-from-city-only-600-firs-filed/articleshow/86245174.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-86245174,width-300,resizemode-4/86245174.jpg",Sep-16,04:08,2021
149, Bhopal family of five takes poison; two dead and three critical ," 'Hum buzdil nahin, majboor hain,' scribbled on the walls, five members of a family - a couple, their two daughters and the man's mother - took poison in a suicide pact in Bhopal on Thursday night. ",https://timesofindia.indiatimes.com/city/bhopal/bhopal-family-of-five-takes-poison-two-dead-and-three-critical/articleshow/87943410.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-87943410,width-300,resizemode-4/87943410.jpg",Nov-27,10:21,2021
150, BJP area president brutally hacked to death in Nashik over union rivalry , Satpur BJP president Amol Ighe (37) was allegedly murdered by his former associate in the busy MIDC area here around 7.30am on Friday. ,https://timesofindia.indiatimes.com/city/nashik/bjp-area-prez-hacked-to-death-over-union-rivalry/articleshow/87937484.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-87937484,width-300,resizemode-4/87937484.jpg",Nov-27,09:58,2021
151," Tamil Nadu: 38% women faced domestic violence, states National Family Health Survey "," This is a distinction Tamil Nadu won't be happy about. About 38.1% of women in the state in the 18-49 age group have experienced domestic violence by their spouses. Among southern states, only Karnataka is higher, with 44.4%, according to the National Family Health Survey - 5 (2019-2021) ",https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-38-women-faced-domestic-violence-states-national-family-health-survey/articleshow/87942764.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-87942764,width-300,resizemode-4/87942764.jpg",Nov-27,09:31,2021
152, Rajasthan: Elderly woman killed in Dudu loot , Unidentified accused murdered an 80-year-old woman in the Naraina area in Dudu and decamped with cash and jewellery late on Thursday night. ,https://timesofindia.indiatimes.com/city/jaipur/rajasthan-elderly-woman-killed-in-dudu-loot/articleshow/87941731.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-87941731,width-300,resizemode-4/87941731.jpg",Nov-27,07:51,2021
